,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Region,Age,Churn,ContractType,MonthlyCharges,TotalCharges,PaymentMethod,InternetService,NbContacts,LastContactDays,SatisfactionScore,FeedbackText,AvgDataUsage_GB,NumCalls,TVPackage,TechSupport
38,C0037,Female,1,No,No,8,North,26.0,No,Month-to-month,78.45,4924.26,Credit card,,1.0,122.0,3.0,Email support replies after some days Billing is clear and correct each month Service is okay but could be better Thank you.,45.2,49.0,No,No
39,C0038,Male,0,Yes,No,51,East,55.0,No,Month-to-month,38.76,957.34,Electronic check,DSL,0.0,168.0,3.0,GOT A MINOR OUTAGE LAST WEEK THANK YOU. SUPPORT AGENT WAS KIND AND SOLVED MY SSUE QUICKLY PRICE IS A BIT HIGH COMPARED TO OTHERS,11.4,50.0,No,No
40,C0039,Male,1,Yes,Yes,57,North,,No,One year,60.65,3376.88,Bank transfer,Fiber optic,3.0,22.0,1.0,"Happy with the internet speed and support Thank you. Price is a bit hgih compared to othres Occasional hiccups but nothing too bad The new router works well, stable connection",,27.0,No,No
41,C0040,Male,0,Yes,No,4,South,30.0,No,One year,98.93,3797.47,Electronic check,Fiber optic,1.0,84.0,4.0,"Honestly, everything works fine for our family Good service overall, nothing major to complain aboout The new router works well, stable connction",,,,
42,C0041,Male,0,Yes,No,36,West,70.0,No,Month-to-month,59.03,607.05,Electronic check,DSL,2.0,108.0,3.0,"Occasional hiccups but nothing too bad The new router works well, stable connection Email support replies after smoe days!!",13.0,35.0,No,No
43,C0042,Male,0,No,No,19,East,66.0,Yes,One year,123.27,5562.53,Electronic check,DSL,4.0,67.0,2.0,"Too expensive for poor quality, thinking to cancel Speed ever matches what was promised in the contract",,,,
44,C0043,Female,0,No,No,24,West,87.0,No,One year,44.79,1980.46,Bank transfer,DSL,1.0,27.0,5.0,"Honestly, everythign works fine for our family thank you.",12.2,50.0,No,No
45,C0044,Female,0,Yes,Yes,41,North,52.0,No,Month-to-month,46.05,2711.17,Electronic check,Fiber optic,4.0,175.0,2.0,Service is okay but culd be better!!,29.7,33.0,Yes,No
46,C0045,Female,1,No,No,49,South,33.0,No,Two year,120.34,1923.43,Electronic check,DSL,2.0,58.0,,"Honestly, sometimes the speed drpos at ight Everything works fine for our family!!",18.3,30.0,No,No
47,C0046,Female,0,Yes,Yes,46,North,30.0,No,Two year,104.36,2917.6,Credit card,DSL,3.0,138.0,2.0,"Helpful chat support, fast reslution",17.4,50.0,No,Yes
48,C0047,Female,1,No,Yes,36,East,28.0,No,One year,83.91,5212.62,Bank transfer,,,95.0,3.0,"HONESTLY, HAPPY WITH THE INTERNET SPEED AND SUPPORT THANK YOU.",27.7,45.0,No,No
49,C0048,Male,0,Yes,Yes,10,North,19.0,Yes,One year,43.33,292.61,Bank transfer,Fiber optic,3.0,13.0,3.0,Latency and disconnects make it impossible to work,523.9,37.0,Yes,No
50,C0049,Female,0,Yes,,7,North,36.0,Yes,Two year,49.76,1434.67,Credit card,,1.0,20.0,2.0,"Very bad support, no one answers my calls!!!",,52.0,Yes,No
51,C0050,Female,1,No,Yes,12,South,62.0,No,Month-to-month,79.76,4399.34,Electronic check,Fiber optic,4.0,96.0,4.0,"The new router works well, stable connection Happy with the internet peed and support Thank you.",29.8,32.0,Yes,No
52,C0051,Male,0,No,No,48,East,63.0,No,Month-to-month,74.38,,Electronic check,Fiber optic,2.0,177.0,3.0,"HELPFUL CHAT SUPPORT, FAST RESOLUTION NO ISSEUS LATELY, SATISFIED CUSTOMER INSTALLATION TOOK LONGER THAN EXPECTED",45.2,39.0,No,No
53,C0052,Female,0,No,No,37,North,64.0,No,Two year,109.74,3142.2,Credit card,DSL,0.0,55.0,3.0,"Average experience so far ot a minor outage last week Phone line is fine, internet varies The new router works well, stable connection",,,,
54,C0053,Male,0,Yes,Yes,36,West,66.0,No,Month-to-month,119.52,3650.43,Bank transfer,Fiber optic,1.0,71.0,3.0,Everything works fine fr our family Sometimes the speed drops at night Installation took longer than expected,8.0,45.0,No,No
55,C0054,Female,0,Yes,Yes,60,North,59.0,No,Month-to-month,22.49,1731.33,Electronic check,Fiber optic,5.0,108.0,3.0,Occasional hiccups but nothing too bbad,22.6,40.0,No,Yes
56,C0055,Male,0,No,No,8,North,50.0,No,One year,111.24,81.46,Electronic check,Fiber optic,3.0,106.0,2.0,Price is a bit ihgh compared to others,46.7,40.0,Yes,No
57,C0056,Female,0,Yes,No,7,South,58.0,No,Two year,104.1,2344.15,Electronic check,Fiber optic,3.0,153.0,3.0,"Everything wokrs fine for our family Honestly, got a minor utage last week",18.0,32.0,No,No
58,C0057,Female,0,Yes,Yes,43,West,86.0,No,One year,89.43,2843.91,Electronic check,Fiber optic,0.0,126.0,5.0,Good value for the money Price is a bbit ihgh compared to others,4.3,44.0,No,No
59,C0058,Male,1,Yes,No,58,North,36.0,No,Two year,52.7,956.21,Mailed check,DSL,,,,,40.2,36.0,No,No
60,C0059,Male,0,Yes,No,46,North,56.0,No,Two year,108.01,5014.9,Electronic check,,4.0,15.0,,"Honestly, everything works fine foor our family",80.1,51.0,No,No
61,C0060,Male,0,Yes,Yes,34,West,24.0,No,One year,42.17,1067.73,Credit card,Fiber optic,0.0,168.0,3.0,Email support replies fter some days,30.7,45.0,Yes,No
62,C0061,Male,0,No,No,72,South,56.0,No,Two year,91.43,5293.27,Bank transfer,DSL,2.0,154.0,1.0,Everything works fine for our family Service is okay but could be better!!!,79.1,37.0,Yes,No
63,C0062,Male,1,Yes,No,22,East,51.0,Yes,,,,,,4.0,27.0,2.0,Speed never matches what was promised in the contract Occasional hiccups but nothing too bad!!,35.0,51.0,Yes,No
64,C0063,Male,0,No,Yes,21,North,61.0,Yes,One year,107.55,6752.81,Credit card,Fiber optic,1.0,91.0,5.0,"Very bad support, no one answers my callls Honestly, they overcharged me twice and ignored my emails Internet is slow and unstable almost every evening Honestly, veyr bad support, no oe answers my callls",15.8,43.0,Yes,
65,C0064,Male,0,Yes,,15,South,86.0,No,Month-to-month,60.98,3935.77,Mailed check,Fiber optic,2.0,33.0,4.0,"Price is a it high compared to others Helpful chat support, fast resolution",36.9,42.0,No,No
66,C0065,Male,0,Yes,No,5,South,85.0,No,Two year,108.78,287.64,Credit card,Fiber optic,,,,,27.6,48.0,Yes,No
67,C0066,Female,0,No,Yes,17,South,80.0,No,Two year,106.14,4069.69,Electronic check,,2.0,106.0,4.0,"Honestly, got a minor outage last week",7.1,31.0,Yes,No
68,C0067,Female,1,No,Yes,72,West,88.0,Yes,One year,97.8,2935.2,Electronic check,Fiber optic,2.0,59.0,2.0,"Billing errors keep happening, I am really tired of thhis",32.0,41.0,No,No
69,C0068,Male,0,No,Yes,19,West,65.0,No,One year,53.27,3732.46,Credit card,Fiber optic,0.0,76.0,1.0,Support agent was kind and solved my issue quickly Thank you.!!,27.0,40.0,No,No
70,C0069,Female,0,No,No,5,East,20.0,Yes,One year,79.85,335.17,Credit card,Fiber optic,,58.0,1.0,"BILLING ERRORS KEEP HAPPENING, I AM REALLY TIRED OF THIS!!",120.4,40.0,Yes,No
71,C0070,Female,0,Yes,Yes,23,West,,No,Month-to-month,23.87,43.19,Credit card,Fiber optic,2.0,178.0,2.0,Service is okay but ccould be better,35.1,47.0,Yes,No
72,C0071,Female,0,No,No,14,South,26.0,Yes,Month-to-month,36.13,714.77,Electronic check,DSL,0.0,118.0,5.0,IInternet is slow and unstable almost every evening,29.5,34.0,Yes,No
73,C0072,Female,1,No,Yes,10,North,,No,Month-to-month,50.45,1658.57,Mailed check,Fiber optic,1.0,101.0,3.0,"Occasional hiccups but nothing too bad Installation took longer than expected Thank you. The new router works well, stable connection Happy with the internet sped and support Got a minor outage last week",24.6,35.0,Yes,No
74,C0072,Female,1,No,Yes,10,North,,No,Month-to-month,50.45,1658.57,Mailed check,Fiber optic,1.0,101.0,3.0,"Occasional hiccups but nothing too bad Installation took longer than expected Thank you. The new router works well, stable connection Happy with the internet sped and support Got a minor outage last week",24.6,35.0,Yes,No
75,C0073,Male,1,Yes,No,31,East,37.0,Yes,Month-to-month,46.34,674.72,Mailed check,DSL,1.0,42.0,3.0,"Honestlyy, outages every wee, unacceptable service thank you. I have opened several tickets and nothing was fixed They overcharged me twice and ignored my emails!",53.3,44.0,No,No
76,C0074,Female,0,No,No,13,East,57.0,No,Month-to-month,110.85,6074.22,Mailed check,DSL,,12.0,,Happy with the internet speed and supporrt,27.6,38.0,Yes,Yes
77,C0075,Male,1,No,No,22,North,29.0,No,Month-to-month,32.68,1073.14,Credit card,Fiber optic,0.0,103.0,5.0,"Honestly, ssometimes the speed drops at night Average experience so far!!!",46.0,38.0,No,Yes
78,C0076,Female,0,Yes,No,37,East,45.0,No,,,,,,1.0,136.0,3.0,"Honestly, good value for hte money",39.3,46.0,Yes,Yes
79,C0077,Female,0,Yes,No,39,South,65.0,No,Month-to-month,32.85,1740.03,Bank transfer,,,,,,2.6,40.0,Yes,No
80,C0078,Female,0,Yes,No,10,East,24.0,Yes,Two year,52.47,2777.64,Electronic check,Fiber optic,,149.0,2.0,"Terirble experience, worst provider I used Internet is slow and unstable almost every evening Thank you.",44.9,52.0,Yes,No
81,C0079,Male,0,,No,31,West,31.0,No,One year,59.83,2443.03,Electronic check,Fiber optic,0.0,75.0,5.0,"Sometimes the speed drops at night No issues lately, satisfied customer",15.0,33.0,No,
82,C0080,Female,0,Yes,No,43,East,36.0,No,Month-to-month,108.23,,Electronic check,Fiber optic,1.0,115.0,1.0,"Everything works fine for our family Helpful chat support, afst resolution!!!",31.5,49.0,Yes,Yes
83,C0081,Male,1,Yes,No,36,North,71.0,No,Month-to-month,35.78,813.77,Electronic check,Fiber optic,2.0,8.0,3.0,Support agent was iknd and solved my issue quickly Thank you.,74.3,33.0,Yes,No
84,C0082,Female,0,Yes,Yes,35,East,77.0,Yes,Month-to-month,115.84,643.53,Electronic check,,,7.0,5.0,"Honestly, ery bad support, no one answers my calls Outages every week, unacceptable service Latency and disconnects make it impossible to work",40.0,48.0,Yes,
85,C0083,Male,1,No,Yes,68,East,84.0,No,Month-to-month,72.55,4743.42,Mailed check,,6.0,70.0,4.0,Great service and fair price Everything orks fine for our family,9.5,33.0,No,Yes
86,C0084,Female,0,No,No,55,North,51.0,No,Month-to-month,39.14,,Electronic check,,,,,,34.0,34.0,No,No
87,C0085,Male,1,No,No,68,South,,No,,,,,,1.0,103.0,4.0,Good value for the money!!!,14.5,42.0,Yes,No
88,C0086,Male,0,Yes,No,47,West,48.0,No,Month-to-month,92.48,600.22,Mailed check,DSL,1.0,74.0,3.0,"Sometimes the speed drops at night Thank you. HHonestly, service is okay but could be better Honestly, installation took longer than expected",12.8,40.0,No,No
89,C0087,Female,0,No,Yes,6,South,56.0,No,Month-to-month,117.47,6491.29,Bank transfer,Fiber optic,5.0,36.0,4.0,"HELPFUL CHAT SUPPORT, FAST RESOLUTION",64.3,34.0,Yes,No
90,C0088,Male,0,No,Yes,28,North,69.0,No,Month-to-month,126.43,4694.11,Electronic check,Fiber optic,1.0,180.0,3.0,"Occasional hiccups but nothing too bad The new router works well, stable connection",14.2,37.0,No,Yes
91,C0089,Female,0,No,No,30,North,64.0,No,,,,,,1.0,121.0,3.0,Got a minor outage last week hank you.,,,,
92,C0090,Female,0,Yes,,27,East,37.0,No,One year,114.28,4127.77,Bank transfer,,1.0,119.0,,"Helpful chat support, fst resolution Honestly, got a minor outage last week",34.2,32.0,No,No
93,C0090,Female,0,Yes,,27,East,37.0,No,One year,114.28,4127.77,Bank transfer,,1.0,119.0,,"Helpful chat support, fst resolution Honestly, got a minor outage last week",34.2,32.0,No,No
94,C0091,Female,0,Yes,Yes,69,West,69.0,No,Two year,101.8,387.11,Credit card,DSL,2.0,45.0,3.0,"It works, not amazing, not terrible No issues lately, satisfied customer",40.1,35.0,Yes,Yes
95,C0092,Female,0,No,No,39,East,88.0,Yes,Two year,56.23,2482.01,Electronic check,DSL,4.0,18.0,1.0,"Too expensve for poor quality, thinking to cancel",11.2,56.0,No,No
96,C0093,Female,0,Yes,No,35,South,79.0,No,One year,67.79,1174.02,Electronic check,DSL,4.0,90.0,3.0,"No issues lately, satisfied customer The new router works well, stable cnonection",29.7,42.0,Yes,No
97,C0094,Female,0,No,No,44,East,22.0,No,Month-to-month,128.14,7617.56,Electronic check,Fiber optic,1.0,90.0,2.0,Everything works fine for our famiily Billing is clear and correct each month,41.1,48.0,Yes,Yes
98,C0095,Female,0,No,No,15,East,74.0,No,Month-to-month,23.41,1353.28,Credit card,Fiber optic,2.0,45.0,1.0,Sometimes the peed drops at night,,,,
99,C0096,Female,0,No,Yes,32,East,21.0,No,Two year,31.11,33.77,Electronic check,DSL,1.0,37.0,1.0,"No issues lately, satisfied customer Phone lien is fine, internet varies Good value for the money Phone line is fine, internet varies The new router works well, stable connection",14.7,38.0,Yes,Yes
100,C0097,Female,0,No,No,29,North,28.0,No,,,,,,1.0,108.0,2.0,GOOD VALUE FOR THE OMNEY,42.6,41.0,Yes,No
101,C0098,Female,1,No,Yes,63,East,36.0,No,One year,123.71,5654.27,Credit card,Fiber optic,2.0,88.0,3.0,Great service and fair price Sometimees the speed drops at night!!!,7.2,43.0,Yes,
102,C0099,Female,0,Yes,No,6,South,44.0,No,Two year,41.27,1276.97,Electronic check,Fiber optic,0.0,15.0,2.0,"Helpful chat support, fast resolution Happy with the internet speed and suppport",34.1,39.0,Yes,No
103,C0100,Male,1,Yes,No,27,North,46.0,No,Two year,121.36,1035.91,Credit card,Fiber optic,5.0,173.0,5.0,"Everything works fine for our family Helpful chat support, afst resolution",140.9,38.0,No,No
104,C0101,Male,0,Yes,Yes,28,East,35.0,Yes,Two year,34.19,778.75,Electronic check,DSL,,103.0,4.0,"Outages every week, unacceptable ervice!!!",27.8,54.0,No,Yes
105,C0102,Female,1,No,No,5,West,54.0,No,Two year,38.34,752.47,Bank transfer,Fiber optic,1.0,116.0,3.0,"Honestly, occasional hiccups but nothing too bad Helpufl chat support, fast resolution",27.7,46.0,Yes,Yes
106,C0103,Female,1,Yes,,41,South,78.0,No,Month-to-month,43.31,,Bank transfer,,2.0,167.0,4.0,Service is okay but could be better Billing is clear and correct each mnth,,46.0,No,Yes
107,C0104,Female,0,Yes,No,56,West,64.0,No,Month-to-month,84.08,1782.93,Electronic check,DSL,2.0,116.0,3.0,"Honestly, good service oevrall, nothing major to complain about",29.0,49.0,Yes,Yes
108,C0105,Female,0,No,No,54,North,37.0,No,Two year,85.48,3083.57,Bank transfer,Fiber optic,,,,,8.1,27.0,No,Yes
109,C0106,Female,0,No,,18,East,87.0,Yes,Two year,121.33,6777.75,Credit card,,3.0,98.0,5.0,"Billing errors keep happening, I am really tired of ths",,50.0,Yes,No
110,C0107,Female,0,No,Yes,43,North,66.0,No,Month-to-month,53.96,2098.76,Mailed check,Fiber optic,3.0,51.0,4.0,SERVICE IS OKAY BUT COULD BE BETER GREAT SERVICE AND FAIR PRICE THANK YOU.,28.4,51.0,Yes,No
111,C0108,Female,0,No,Yes,29,South,32.0,No,Two year,82.38,1908.05,Credit card,DSL,2.0,44.0,4.0,"The new router woorks well, stable connection Happy with the internet speed and support",7.3,35.0,No,Yes
112,C0109,Female,0,No,Yes,10,East,35.0,No,Two year,30.12,2228.43,Bank transfer,DSL,1.0,68.0,5.0,Got a minor outage last wweek!,2.2,40.0,No,No
113,C0110,Male,0,No,Yes,6,East,55.0,Yes,Month-to-month,36.47,1585.19,Mailed check,,2.0,146.0,4.0,"Honestly, outages every week, unacceptable serviec",11.2,45.0,Yes,No
114,C0111,Female,0,No,No,4,West,39.0,No,One year,99.07,7213.71,Electronic check,DSL,3.0,57.0,3.0,Billing is clera and correct each month,27.7,31.0,No,No
115,C0112,Male,0,No,Yes,34,East,77.0,No,Month-to-month,83.42,23.96,Credit card,DSL,2.0,113.0,4.0,Price is a bit high comared to others,47.1,43.0,Yes,No
116,C0113,Female,0,No,No,33,East,83.0,No,Two year,47.93,512.28,Electronic check,Fiber optic,1.0,13.0,2.0,"Helpful chat support, fast resolution Service is okay bbut could be better",14.6,38.0,No,No
117,C0114,Female,1,No,Yes,4,West,43.0,Yes,Two year,98.68,7510.44,Credit card,DSL,4.0,52.0,4.0,"Terrible experience, worst provider I used Very bad support, no one answers my calsl Billing errors keep happening, I am really tired of thsi Honestly, outages every ewek, unacceptable service",18.7,45.0,Yes,No
118,C0115,Male,0,No,Yes,44,South,81.0,No,One year,100.34,2587.34,Bank transfer,Fiber optic,1.0,47.0,3.0,Got a minor outtage last week,,,,
119,C0116,Female,0,Yes,Yes,31,North,75.0,No,One year,29.3,53.27,Electronic check,Fiber optic,,,,,79.4,48.0,Yes,No
120,C0117,Male,0,Yes,,66,North,20.0,No,Month-to-month,30.01,1285.75,Credit card,DSL,,,,,,54.0,Yes,No
121,C0118,Female,1,Yes,No,58,South,47.0,No,,,,,,2.0,8.0,4.0,Happy with the itnernet speed and support Support agent was kind and solvde my issue quickly,58.3,49.0,No,No
122,C0119,Female,1,Yes,No,60,East,36.0,No,Month-to-month,104.81,48.37,Electronic check,DSL,1.0,27.0,2.0,ervice is okay but could be better Billing is clear and correct each month,347.6,39.0,No,No
123,C0120,Male,1,Yes,No,2,North,27.0,Yes,Two year,72.37,,Electronic check,,4.0,27.0,2.0,"Honestly, occasional hiccups but nothing too ad They overcharged me twice and ignored my emails Thank you.",138.6,45.0,Yes,No
124,C0121,Female,1,Yes,No,36,North,63.0,Yes,Month-to-month,96.24,3414.3,Electronic check,Fiber optic,1.0,161.0,4.0,"Outages every week, unacceptable servvice",42.3,39.0,No,No
125,C0122,Male,0,Yes,No,70,North,36.0,No,Month-to-month,76.04,4655.6,Mailed check,DSL,2.0,164.0,4.0,"No issues lately, satisfied customer The new rotuer works well, stable connection",92.6,42.0,Yes,Yes
126,C0123,Female,1,No,Yes,60,East,75.0,Yes,Month-to-month,112.49,6658.78,Electronic check,Fiber optic,1.0,140.0,1.0,"IT WORKS, NOT AMAZING, NOT TERRIBLE THHANK YOU.",80.8,50.0,No,Yes
127,C0124,Male,0,No,No,23,North,23.0,No,Month-to-month,31.57,529.39,Electronic check,Fiber optic,4.0,16.0,,"Billing is clear and correct each month The new router works well, stable connection No issues lately, satisfied customer",,39.0,Yes,No
128,C0125,Male,0,Yes,No,47,North,68.0,No,Month-to-month,102.14,,Credit card,DSL,0.0,93.0,3.0,Happy with the internet speed and support Happy with the internet speed nad support,,30.0,Yes,Yes
129,C0126,Female,1,No,No,46,East,31.0,No,Month-to-month,68.67,4348.73,Bank transfer,Fiber optic,3.0,100.0,2.0,Price is a bit high compared to others Occasional hiccups ut nothing too bad Thank you.,36.5,41.0,No,No
130,C0127,Female,0,No,Yes,44,West,75.0,No,One year,113.23,5249.94,Credit card,Fiber optic,1.0,136.0,3.0,"No isues lately, satisfied customer Good value for the money No issues lately, satisfied customer",52.1,44.0,Yes,Yes
131,C0128,Male,0,No,,19,South,25.0,Yes,Month-to-month,96.63,5701.04,Electronic check,DSL,2.0,168.0,3.0,INTERNET IS SLOW AND UNSTABLE ALOST EVERY EVENING,21.4,34.0,No,No
132,C0129,Female,0,,Yes,49,East,19.0,No,Month-to-month,68.34,3464.09,Electronic check,DSL,1.0,64.0,3.0,"Helpful chat support, fast resolution Phone line is fine, iinternet varies!",55.1,45.0,No,Yes
133,C0129,Female,0,,Yes,49,East,19.0,No,Month-to-month,68.34,3464.09,Electronic check,DSL,1.0,64.0,3.0,"Helpful chat support, fast resolution Phone line is fine, iinternet varies!",55.1,45.0,No,Yes
